name,linkedin_url,website,industry,company_size,headquarters,founded,specialties,description,email,phone,followers,location_search,followers_search,description_short,source,crawl_keyword,channel,channel_title,channel_members,message_date,location,crawl_channel
AGIL f(x),https://www.linkedin.com/company/74506552/,,IT System Custom Software Development,,"Philadelphia, Pennsylvania",,,,,,15K,,,"IT System Custom Software Development • Philadelphia, Pennsylvania",linkedin,medical AI,,,,,,
AGRIM,https://www.linkedin.com/company/54161304/,,"Technology, Information and Internet",,"Gurugram, Haryana",,,,,,37K,,,"Technology, Information and Internet • Gurugram, Haryana",linkedin,Series B startup,,,,,,
AGX Logistics Singapore,https://www.linkedin.com/company/7255230/,,"Transportation, Logistics, Supply Chain and Storage",,"Singapore , Singapore",,,,,,1K,,,"Transportation, Logistics, Supply Chain and Storage • Singapore , Singapore ",linkedin,logistics Singapore,,,,,,
AHG Lab,https://www.linkedin.com/company/71054711/,,Think Tanks,,"Makati, National Capital Region",,,,,,5K,,,"Think Tanks • Makati, National Capital Region",linkedin,startup Southeast Asia,,,,,,
AHI Association of Healthtech Indonesia,https://www.linkedin.com/company/18907404/,,Non-profit Organization Management,,"Jakarta Selatan, DKI",,,,,,682,,,"Non-profit Organization Management • Jakarta Selatan, DKI",linkedin,healthtech Indonesia,,,,,,
AI & ChatGPT Use Cases,https://www.linkedin.com/company/90438632/,,"Technology, Information and Internet",,"Austin, TX",,,,,,135K,,,"Technology, Information and Internet • Austin, TX",linkedin,SaaS Vietnam,,,,,,
AI & Machine Learning Convention,https://www.linkedin.com/company/14026286/,,Hospitals and Health Care,,"Birmingham, Birmingham",,,,,,905,,,"Hospitals and Health Care • Birmingham, Birmingham",linkedin,medical AI,,,,,,
AI AVATAR Indonesia,https://www.linkedin.com/company/95709643/,,"Technology, Information and Internet",,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta",,,,,,2K,,,"Technology, Information and Internet • Jakarta Pusat, Daerah Khusus Ibukota Jakarta",linkedin,AI Indonesia,,,,,,
"AI AVATAR VIETNAM CO., LTD",https://www.linkedin.com/company/107112305/,,"Technology, Information and Internet",,,,,,,,273,,,"Technology, Information and Internet",linkedin,AI Vietnam,,,,,,
AI Academy Indonesia,https://www.linkedin.com/company/107777279/,,Education,,,,,,,,3,,,Education,linkedin,AI Indonesia,,,,,,
AI Academy Vietnam,https://www.linkedin.com/company/14446866/,,Higher Education,,"Cau Giay, Hanoi",,,,,,125,,,"Higher Education • Cau Giay, Hanoi",linkedin,AI Vietnam,,,,,,
AI Agency Indonesia,https://www.linkedin.com/company/107786842/,,IT Services and IT Consulting,,"North Jakarta, Jakarta",,,,,,4,,,"IT Services and IT Consulting • North Jakarta, Jakarta",linkedin,AI Indonesia,,,,,,
